fold_id,period,test_start,test_end,prophet_MAE,prophet_RMSE,hybrid_MAE,hybrid_RMSE,n_test
203,BASELINE,2025-11-18,2025-11-18,8.060236657497214,8.060236657497214,8.16308321290903,8.16308321290903,1
204,BASELINE,2025-11-25,2025-11-25,77.9359698874913,77.9359698874913,62.60436588358505,62.60436588358505,1
205,BASELINE,2025-12-02,2025-12-02,69.29341274763952,69.29341274763952,14.08783108260046,14.08783108260046,1
206,BASELINE,2025-12-09,2025-12-09,76.67943183799072,76.67943183799072,18.191833418801266,18.191833418801266,1
207,BASELINE,2025-12-16,2025-12-16,29.506629614070945,29.506629614070945,10.464168878360695,10.464168878360695,1
208,BASELINE,2025-12-23,2025-12-23,14.321781116850389,14.321781116850389,22.130817454926955,22.130817454926955,1
209,BASELINE,2025-12-30,2025-12-30,30.66355828632866,30.66355828632866,21.341779035230033,21.341779035230033,1
210,BASELINE,2026-01-06,2026-01-06,67.39594440339998,67.39594440339998,41.59133701204256,41.59133701204256,1
211,BASELINE,2026-01-13,2026-01-13,10.966433508467588,10.966433508467588,24.75958348982344,24.75958348982344,1
212,BASELINE,2026-01-20,2026-01-20,41.92695777022932,41.92695777022932,24.6105801304588,24.6105801304588,1
213,BASELINE,2026-01-27,2026-01-27,17.92337423265471,17.92337423265471,0.717578831310135,0.717578831310135,1
214,BASELINE,2026-02-03,2026-02-03,2.1467084858927024,2.1467084858927024,0.9928803469625223,0.9928803469625223,1
215,BASELINE,2026-02-10,2026-02-10,34.76043969017026,34.76043969017026,9.2462471089935,9.2462471089935,1
216,BASELINE,2026-02-17,2026-02-17,6.741711997028872,6.741711997028872,16.169411278727964,16.169411278727964,1
217,BASELINE,2026-02-24,2026-02-24,7.409880467627971,7.409880467627971,19.50419885752055,19.50419885752055,1
218,SHOCK_2026,2026-03-03,2026-03-03,11.329118517596669,11.329118517596669,15.361746100146718,15.361746100146718,1
219,SHOCK_2026,2026-03-10,2026-03-10,24.54022987536547,24.54022987536547,7.489908296385977,7.489908296385977,1
220,SHOCK_2026,2026-03-17,2026-03-17,23.711547806783713,23.711547806783713,47.56368251137356,47.56368251137356,1
221,SHOCK_2026,2026-03-24,2026-03-24,15.475818983405318,15.475818983405318,48.00936161646196,48.00936161646196,1
222,SHOCK_2026,2026-03-31,2026-03-31,33.06440586627376,33.06440586627376,46.12088722766292,46.12088722766292,1
223,SHOCK_2026,2026-04-07,2026-04-07,7.789064818573948,7.789064818573948,25.212322646332737,25.212322646332737,1
224,SHOCK_2026,2026-04-14,2026-04-14,52.63341525598068,52.63341525598068,29.19110683007736,29.19110683007736,1
225,SHOCK_2026,2026-04-21,2026-04-21,10.117057614526757,10.117057614526757,17.26830702324868,17.26830702324868,1
226,SHOCK_2026,2026-04-28,2026-04-28,24.091278200441764,24.091278200441764,34.88738644629137,34.88738644629137,1
227,SHOCK_2026,2026-05-05,2026-05-05,34.66319195981944,34.66319195981944,27.074539349040634,27.074539349040634,1
228,SHOCK_2026,2026-05-12,2026-05-12,1.401981449063598,1.401981449063598,16.07737340933484,16.07737340933484,1
229,SHOCK_2026,2026-05-19,2026-05-19,45.417115024181,45.417115024181,30.934583476634614,30.934583476634614,1
230,SHOCK_2026,2026-05-26,2026-05-26,19.60277921588633,19.60277921588633,1.7755182448169933,1.7755182448169933,1
231,SHOCK_2026,2026-06-02,2026-06-02,37.526139581726255,37.526139581726255,31.451559389160337,31.451559389160337,1
232,SHOCK_2026,2026-06-09,2026-06-09,2.956745208272224,2.956745208272224,10.687915741434807,10.687915741434807,1
233,SHOCK_2026,2026-06-16,2026-06-16,12.253974719811623,12.253974719811623,10.94761340217704,10.94761340217704,1
234,SHOCK_2026,2026-06-23,2026-06-23,66.6515732997193,66.6515732997193,46.53130733902594,46.53130733902594,1
235,SHOCK_2026,2026-06-30,2026-06-30,72.0643038508307,72.0643038508307,49.74665210217347,49.74665210217347,1
236,SHOCK_2026,2026-07-07,2026-07-07,47.37770921344763,47.37770921344763,41.16026527042395,41.16026527042395,1
237,SHOCK_2026,2026-07-14,2026-07-14,0.4663920108866222,0.4663920108866222,8.738266438682032,8.738266438682032,1
238,SHOCK_2026,2026-07-21,2026-07-21,13.21027948640561,13.21027948640561,1.3032407977459428,1.3032407977459428,1
239,SHOCK_2026,2026-07-28,2026-07-28,5.365173643492881,5.365173643492881,17.111682588196572,17.111682588196572,1
