fold_id,period,test_start,test_end,chronos_MAE,chronos_RMSE,naive_MAE,naive_RMSE,n_test
194,BASELINE,2025-09-16,2025-09-16,43.05424407958984,43.05424407958984,10.691666666666668,10.691666666666668,1
195,BASELINE,2025-09-23,2025-09-23,11.401022338867193,11.401022338867193,5.591666666666669,5.591666666666669,1
196,BASELINE,2025-09-30,2025-09-30,16.924337158203116,16.924337158203116,5.600833333333327,5.600833333333327,1
197,BASELINE,2025-10-07,2025-10-07,40.09138651529949,40.09138651529949,51.77708333333335,51.77708333333335,1
198,BASELINE,2025-10-14,2025-10-14,26.801927490234362,26.801927490234362,17.087499999999977,17.087499999999977,1
199,BASELINE,2025-10-21,2025-10-21,42.85947692871093,42.85947692871093,14.456666666666663,14.456666666666663,1
200,BASELINE,2025-10-28,2025-10-28,20.452435506184898,20.452435506184898,1.7283333333333388,1.7283333333333388,1
201,BASELINE,2025-11-04,2025-11-04,24.167551167805996,24.167551167805996,4.7420833333333405,4.7420833333333405,1
202,BASELINE,2025-11-11,2025-11-11,23.694526570638004,23.694526570638004,13.001249999999999,13.001249999999999,1
203,BASELINE,2025-11-18,2025-11-18,0.07109903971355891,0.07109903971355891,7.249583333333362,7.249583333333362,1
204,BASELINE,2025-11-25,2025-11-25,99.47384165445965,99.47384165445965,88.15375,88.15375,1
205,BASELINE,2025-12-02,2025-12-02,8.859571431477875,8.859571431477875,6.938333333333333,6.938333333333333,1
206,BASELINE,2025-12-09,2025-12-09,7.7477433268229134,7.7477433268229134,20.938333333333333,20.938333333333333,1
207,BASELINE,2025-12-16,2025-12-16,5.6950380452473865,5.6950380452473865,19.34083333333332,19.34083333333332,1
208,BASELINE,2025-12-23,2025-12-23,25.35612599690755,25.35612599690755,10.822083333333339,10.822083333333339,1
209,BASELINE,2025-12-30,2025-12-30,5.785251159667965,5.785251159667965,6.5874999999999915,6.5874999999999915,1
210,BASELINE,2026-01-06,2026-01-06,7.973130900065101,7.973130900065101,6.986666666666665,6.986666666666665,1
211,BASELINE,2026-01-13,2026-01-13,3.3835745239257875,3.3835745239257875,1.3599999999999994,1.3599999999999994,1
212,BASELINE,2026-01-20,2026-01-20,23.977280273437486,23.977280273437486,16.176666666666648,16.176666666666648,1
213,BASELINE,2026-01-27,2026-01-27,7.8417645263672,7.8417645263672,10.701666666666682,10.701666666666682,1
214,BASELINE,2026-02-03,2026-02-03,24.36518656412761,24.36518656412761,9.26666666666668,9.26666666666668,1
215,BASELINE,2026-02-10,2026-02-10,17.495602010091133,17.495602010091133,22.43458333333332,22.43458333333332,1
216,BASELINE,2026-02-17,2026-02-17,13.097020161946617,13.097020161946617,2.735833333333346,2.735833333333346,1
217,BASELINE,2026-02-24,2026-02-24,20.241186930338557,20.241186930338557,46.73541666666668,46.73541666666668,1
218,SHOCK_2026,2026-03-03,2026-03-03,8.651184285481762,8.651184285481762,13.659999999999982,13.659999999999982,1
219,SHOCK_2026,2026-03-10,2026-03-10,10.217707112630222,10.217707112630222,4.133333333333354,4.133333333333354,1
220,SHOCK_2026,2026-03-17,2026-03-17,34.0726247151693,34.0726247151693,52.65916666666669,52.65916666666669,1
221,SHOCK_2026,2026-03-24,2026-03-24,54.56390014648437,54.56390014648437,65.10541666666666,65.10541666666666,1
222,SHOCK_2026,2026-03-31,2026-03-31,36.0133678181966,36.0133678181966,59.38833333333332,59.38833333333332,1
223,SHOCK_2026,2026-04-07,2026-04-07,39.762295735677085,39.762295735677085,86.85208333333334,86.85208333333334,1
224,SHOCK_2026,2026-04-14,2026-04-14,25.462666625976567,25.462666625976567,10.785833333333343,10.785833333333343,1
225,SHOCK_2026,2026-04-21,2026-04-21,23.78149332682291,23.78149332682291,15.136249999999976,15.136249999999976,1
226,SHOCK_2026,2026-04-28,2026-04-28,27.188433329264328,27.188433329264328,27.709583333333356,27.709583333333356,1
227,SHOCK_2026,2026-05-05,2026-05-05,20.837756347656267,20.837756347656267,2.3329166666666765,2.3329166666666765,1
228,SHOCK_2026,2026-05-12,2026-05-12,16.24969635009765,16.24969635009765,25.951249999999987,25.951249999999987,1
229,SHOCK_2026,2026-05-19,2026-05-19,8.333822631835943,8.333822631835943,10.828749999999985,10.828749999999985,1
230,SHOCK_2026,2026-05-26,2026-05-26,1.0044616699218807,1.0044616699218807,16.420833333333334,16.420833333333334,1
231,SHOCK_2026,2026-06-02,2026-06-02,5.0985098266601625,5.0985098266601625,29.842499999999987,29.842499999999987,1
232,SHOCK_2026,2026-06-09,2026-06-09,12.092405497233088,12.092405497233088,27.37583333333336,27.37583333333336,1
233,SHOCK_2026,2026-06-16,2026-06-16,24.287682698567693,24.287682698567693,38.813749999999985,38.813749999999985,1
234,SHOCK_2026,2026-06-23,2026-06-23,57.98003245035807,57.98003245035807,50.82583333333332,50.82583333333332,1
235,SHOCK_2026,2026-06-30,2026-06-30,55.85513834635415,55.85513834635415,47.05166666666665,47.05166666666665,1
236,SHOCK_2026,2026-07-07,2026-07-07,37.10197875976563,37.10197875976563,26.027083333333323,26.027083333333323,1
237,SHOCK_2026,2026-07-14,2026-07-14,4.642846883138006,4.642846883138006,4.862083333333317,4.862083333333317,1
238,SHOCK_2026,2026-07-21,2026-07-21,3.9021081542968687,3.9021081542968687,9.795416666666668,9.795416666666668,1
239,SHOCK_2026,2026-07-28,2026-07-28,15.364205729166684,15.364205729166684,39.73458333333335,39.73458333333335,1
240,SHOCK_2026,2026-08-04,2026-08-04,21.88377583821614,21.88377583821614,21.69666666666666,21.69666666666666,1
