fold_id,period,variable,coef,pvalue
57,SHOCK_2022,d_DCOILBRENTEU_lag2,0.03050354236783743,0.9469828634220661
57,SHOCK_2022,d_gpr_daily_lag2,0.039227995988976395,0.2658621905969758
57,SHOCK_2022,d_guardian_sentiment_mean_lag2,0.0,1.0
58,SHOCK_2022,d_ttf_eur_mwh_lag2,1.4829230015168402,5.305158791948801e-41
58,SHOCK_2022,d_DCOILBRENTEU_lag2,-0.011696787018936165,0.9797699044746598
58,SHOCK_2022,d_gpr_daily_lag2,0.04101964300261079,0.2427331525183537
58,SHOCK_2022,d_guardian_sentiment_mean_lag2,0.0,1.0
59,SHOCK_2022,d_ttf_eur_mwh_lag2,1.477943149911201,3.540146212336678e-41
59,SHOCK_2022,d_DCOILBRENTEU_lag2,-0.007136886016727657,0.9876249753934768
59,SHOCK_2022,d_gpr_daily_lag2,0.04050522077579098,0.24484942680088506
59,SHOCK_2022,d_guardian_sentiment_mean_lag2,0.0,
60,SHOCK_2022,d_ttf_eur_mwh_lag2,1.489647594405404,1.4220602146283052e-42
60,SHOCK_2022,d_DCOILBRENTEU_lag2,-0.010393357244177705,0.9820612846906087
60,SHOCK_2022,d_gpr_daily_lag2,0.03836736050846275,0.2688397167518154
60,SHOCK_2022,d_guardian_sentiment_mean_lag2,0.0,1.0
61,BASELINE,d_ttf_eur_mwh_lag2,1.480260156674945,2.7128094146519132e-42
61,BASELINE,d_DCOILBRENTEU_lag2,-0.01766350494358582,0.9692851602402714
61,BASELINE,d_gpr_daily_lag2,0.039577471050211914,0.25136911252283234
61,BASELINE,d_guardian_sentiment_mean_lag2,0.0,1.0
62,BASELINE,d_ttf_eur_mwh_lag2,1.4736051042490135,2.3714392824639784e-42
62,BASELINE,d_DCOILBRENTEU_lag2,-0.008678115428986942,0.9848364430146793
62,BASELINE,d_gpr_daily_lag2,0.039779385373466036,0.24518860619705396
62,BASELINE,d_guardian_sentiment_mean_lag2,0.0,
63,BASELINE,d_ttf_eur_mwh_lag2,1.4797507057748602,2.7230938364605755e-43
63,BASELINE,d_DCOILBRENTEU_lag2,-0.0014757586949009855,0.9974283196302794
63,BASELINE,d_gpr_daily_lag2,0.040581918499828305,0.2348826959595065
63,BASELINE,d_guardian_sentiment_mean_lag2,0.0,1.0
64,BASELINE,d_ttf_eur_mwh_lag2,1.476732210554739,2.799078091747557e-43
64,BASELINE,d_DCOILBRENTEU_lag2,-0.052717947547667114,0.9078548711734242
64,BASELINE,d_gpr_daily_lag2,0.042025947656772304,0.21555939143677805
64,BASELINE,d_guardian_sentiment_mean_lag2,0.0,
